nama,kalori_100g,usia_min_bulan,alergen,kelompok_rentan,sumber,saran_konsumsi_sehat,konsumsi_tidak_sehat
mango,60,6,TIDAK,—,USDA FoodData Central 2025; WHO Complementary Feeding 2023; WHO Healthy Diet Fact Sheet 2020,Makan buah segar utuh 2–3 porsi (≈80–100 g) per hari; pilih tanpa tambahan gula.,Manisan/buah kaleng bersirup atau jus bergula tinggi.
apple,52,6,TIDAK,—,USDA FoodData Central 2025; WHO Complementary Feeding 2023; WHO Healthy Diet Fact Sheet 2020,Makan buah segar utuh 2–3 porsi (≈80–100 g) per hari; pilih tanpa tambahan gula.,Manisan/buah kaleng bersirup atau jus bergula tinggi.
avocado,160,6,TIDAK,—,USDA FoodData Central 2025; WHO Complementary Feeding 2023; WHO Healthy Diet Fact Sheet 2020,Makan buah segar utuh 2–3 porsi (≈80–100 g) per hari; pilih tanpa tambahan gula.,Manisan/buah kaleng bersirup atau jus bergula tinggi.
banana,89,6,TIDAK,—,USDA FoodData Central 2025; WHO Complementary Feeding 2023; WHO Healthy Diet Fact Sheet 2020,Makan buah segar utuh 2–3 porsi (≈80–100 g) per hari; pilih tanpa tambahan gula.,Manisan/buah kaleng bersirup atau jus bergula tinggi.
bay_leaf,313,8,TIDAK,—,USDA FoodData Central 2025; WHO Complementary Feeding 2023; WHO Healthy Diet Fact Sheet 2020; NHS Introducing Solid Foods 2018,"Konsumsi moderat, minimal proses.",Konsumsi berlebih atau dimasak dengan banyak gula/garam/lemak.
beet,43,6,TIDAK,—,USDA FoodData Central 2025; WHO Complementary Feeding 2023; WHO Healthy Diet Fact Sheet 2020,"Konsumsi sayur segar, kukus atau tumis ringan; target total buah+sayur ≥400 g/hari.",Digoreng dalam banyak minyak atau diasinkan berlebihan.
bell_pepper,31,6,TIDAK,—,USDA FoodData Central 2025; WHO Complementary Feeding 2023; WHO Healthy Diet Fact Sheet 2020,"Konsumsi moderat, minimal proses.",Konsumsi berlebih atau dimasak dengan banyak gula/garam/lemak.
blueberry,57,6,TIDAK,—,USDA FoodData Central 2025; WHO Complementary Feeding 2023; WHO Healthy Diet Fact Sheet 2020,Makan buah segar utuh 2–3 porsi (≈80–100 g) per hari; pilih tanpa tambahan gula.,Manisan/buah kaleng bersirup atau jus bergula tinggi.
broccoli,34,6,TIDAK,—,USDA FoodData Central 2025; WHO Complementary Feeding 2023; WHO Healthy Diet Fact Sheet 2020,"Konsumsi sayur segar, kukus atau tumis ringan; target total buah+sayur ≥400 g/hari.",Digoreng dalam banyak minyak atau diasinkan berlebihan.
cabbage,25,6,TIDAK,—,USDA FoodData Central 2025; WHO Complementary Feeding 2023; WHO Healthy Diet Fact Sheet 2020,"Konsumsi sayur segar, kukus atau tumis ringan; target total buah+sayur ≥400 g/hari.",Digoreng dalam banyak minyak atau diasinkan berlebihan.
carrot,41,6,TIDAK,—,USDA FoodData Central 2025; WHO Complementary Feeding 2023; WHO Healthy Diet Fact Sheet 2020,"Konsumsi sayur segar, kukus atau tumis ringan; target total buah+sayur ≥400 g/hari.",Digoreng dalam banyak minyak atau diasinkan berlebihan.
cauliflower,25,6,TIDAK,—,USDA FoodData Central 2025; WHO Complementary Feeding 2023; WHO Healthy Diet Fact Sheet 2020,"Konsumsi sayur segar, kukus atau tumis ringan; target total buah+sayur ≥400 g/hari.",Digoreng dalam banyak minyak atau diasinkan berlebihan.
cherry,63,6,TIDAK,—,USDA FoodData Central 2025; WHO Complementary Feeding 2023; WHO Healthy Diet Fact Sheet 2020,Makan buah segar utuh 2–3 porsi (≈80–100 g) per hari; pilih tanpa tambahan gula.,Manisan/buah kaleng bersirup atau jus bergula tinggi.
chicken,120,6,TIDAK,—,USDA FoodData Central 2025; WHO Complementary Feeding 2023; WHO Healthy Diet Fact Sheet 2020,"Pilih potongan tanpa kulit/lemak, masak panggang/rebus/kukus; konsumsi ikan 2×/minggu.",Daging olahan tinggi natrium atau digoreng garing/berlemak.
chickpeas,364,8,YA,—,USDA FoodData Central 2025; WHO Complementary Feeding 2023; WHO Healthy Diet Fact Sheet 2020; FDA Food Allergens 2024,Rebus/steam sebagai protein nabati; padukan dengan serealia.,Digoreng dalam minyak dan disajikan dengan saus asin/manis berlebih.
coriander,23,8,TIDAK,—,USDA FoodData Central 2025; WHO Complementary Feeding 2023; WHO Healthy Diet Fact Sheet 2020; NHS Introducing Solid Foods 2018,"Konsumsi sayur segar, kukus atau tumis ringan; target total buah+sayur ≥400 g/hari.",Digoreng dalam banyak minyak atau diasinkan berlebihan.
cranberry,46,6,TIDAK,—,USDA FoodData Central 2025; WHO Complementary Feeding 2023; WHO Healthy Diet Fact Sheet 2020,Makan buah segar utuh 2–3 porsi (≈80–100 g) per hari; pilih tanpa tambahan gula.,Manisan/buah kaleng bersirup atau jus bergula tinggi.
cucumber,15,6,TIDAK,—,USDA FoodData Central 2025; WHO Complementary Feeding 2023; WHO Healthy Diet Fact Sheet 2020,"Konsumsi sayur segar, kukus atau tumis ringan; target total buah+sayur ≥400 g/hari.",Digoreng dalam banyak minyak atau diasinkan berlebihan.
egg,143,6,YA,Bayi/anak riwayat atopi,USDA FoodData Central 2025; WHO Complementary Feeding 2023; WHO Healthy Diet Fact Sheet 2020; FDA Food Allergens 2024,"Pilih potongan tanpa kulit/lemak, masak panggang/rebus/kukus; konsumsi ikan 2×/minggu.",Daging olahan tinggi natrium atau digoreng garing/berlemak.
eggplant,25,6,TIDAK,—,USDA FoodData Central 2025; WHO Complementary Feeding 2023; WHO Healthy Diet Fact Sheet 2020,"Konsumsi sayur segar, kukus atau tumis ringan; target total buah+sayur ≥400 g/hari.",Digoreng dalam banyak minyak atau diasinkan berlebihan.
fish,206,6,YA,Individu riwayat alergi ikan,USDA FoodData Central 2025; WHO Complementary Feeding 2023; WHO Healthy Diet Fact Sheet 2020; FDA Food Allergens 2024,"Pilih potongan tanpa kulit/lemak, masak panggang/rebus/kukus; konsumsi ikan 2×/minggu.",Daging olahan tinggi natrium atau digoreng garing/berlemak.
frytol,884,6,TIDAK,—,USDA FoodData Central 2025; WHO Complementary Feeding 2023; WHO Healthy Diet Fact Sheet 2020; WHO Trans-fat Fact Sheet 2023; Harvard Nutrition Source 2023,"Gunakan secukupnya, hindari suhu sangat tinggi; pilih minyak tak jenuh bila tersedia.",Minyak dipakai berulang kali atau tinggi lemak trans.
garlic,149,8,TIDAK,—,USDA FoodData Central 2025; WHO Complementary Feeding 2023; WHO Healthy Diet Fact Sheet 2020,"Konsumsi sayur segar, kukus atau tumis ringan; target total buah+sayur ≥400 g/hari.",Digoreng dalam banyak minyak atau diasinkan berlebihan.
ginger,80,8,TIDAK,—,USDA FoodData Central 2025; WHO Complementary Feeding 2023; WHO Healthy Diet Fact Sheet 2020,"Konsumsi sayur segar, kukus atau tumis ringan; target total buah+sayur ≥400 g/hari.",Digoreng dalam banyak minyak atau diasinkan berlebihan.
gooseberry,44,6,TIDAK,—,USDA FoodData Central 2025; WHO Complementary Feeding 2023; WHO Healthy Diet Fact Sheet 2020,Makan buah segar utuh 2–3 porsi (≈80–100 g) per hari; pilih tanpa tambahan gula.,Manisan/buah kaleng bersirup atau jus bergula tinggi.
grape,69,6,TIDAK,—,USDA FoodData Central 2025; WHO Complementary Feeding 2023; WHO Healthy Diet Fact Sheet 2020,Makan buah segar utuh 2–3 porsi (≈80–100 g) per hari; pilih tanpa tambahan gula.,Manisan/buah kaleng bersirup atau jus bergula tinggi.
guava,68,6,TIDAK,—,USDA FoodData Central 2025; WHO Complementary Feeding 2023; WHO Healthy Diet Fact Sheet 2020,Makan buah segar utuh 2–3 porsi (≈80–100 g) per hari; pilih tanpa tambahan gula.,Manisan/buah kaleng bersirup atau jus bergula tinggi.
kumquat,71,6,TIDAK,—,USDA FoodData Central 2025; WHO Complementary Feeding 2023; WHO Healthy Diet Fact Sheet 2020,Makan buah segar utuh 2–3 porsi (≈80–100 g) per hari; pilih tanpa tambahan gula.,Manisan/buah kaleng bersirup atau jus bergula tinggi.
lemon,29,6,TIDAK,—,USDA FoodData Central 2025; WHO Complementary Feeding 2023; WHO Healthy Diet Fact Sheet 2020,Makan buah segar utuh 2–3 porsi (≈80–100 g) per hari; pilih tanpa tambahan gula.,Manisan/buah kaleng bersirup atau jus bergula tinggi.
long_pepper,296,12,TIDAK,—,USDA FoodData Central 2025; WHO Complementary Feeding 2023; WHO Healthy Diet Fact Sheet 2020; NHS Introducing Solid Foods 2018,"Konsumsi moderat, minimal proses.",Konsumsi berlebih atau dimasak dengan banyak gula/garam/lemak.
mulberry,43,6,TIDAK,—,USDA FoodData Central 2025; WHO Complementary Feeding 2023; WHO Healthy Diet Fact Sheet 2020,Makan buah segar utuh 2–3 porsi (≈80–100 g) per hari; pilih tanpa tambahan gula.,Manisan/buah kaleng bersirup atau jus bergula tinggi.
mutton,250,6,TIDAK,—,USDA FoodData Central 2025; WHO Complementary Feeding 2023; WHO Healthy Diet Fact Sheet 2020,"Pilih potongan tanpa kulit/lemak, masak panggang/rebus/kukus; konsumsi ikan 2×/minggu.",Daging olahan tinggi natrium atau digoreng garing/berlemak.
okra,33,6,TIDAK,—,USDA FoodData Central 2025; WHO Complementary Feeding 2023; WHO Healthy Diet Fact Sheet 2020,"Konsumsi sayur segar, kukus atau tumis ringan; target total buah+sayur ≥400 g/hari.",Digoreng dalam banyak minyak atau diasinkan berlebihan.
onion,40,8,TIDAK,—,USDA FoodData Central 2025; WHO Complementary Feeding 2023; WHO Healthy Diet Fact Sheet 2020,"Konsumsi sayur segar, kukus atau tumis ringan; target total buah+sayur ≥400 g/hari.",Digoreng dalam banyak minyak atau diasinkan berlebihan.
orange,47,6,TIDAK,—,USDA FoodData Central 2025; WHO Complementary Feeding 2023; WHO Healthy Diet Fact Sheet 2020,Makan buah segar utuh 2–3 porsi (≈80–100 g) per hari; pilih tanpa tambahan gula.,Manisan/buah kaleng bersirup atau jus bergula tinggi.
palm fruit,192,6,TIDAK,—,USDA FoodData Central 2025; WHO Complementary Feeding 2023; WHO Healthy Diet Fact Sheet 2020; WHO Trans-fat Fact Sheet 2023; Harvard Nutrition Source 2023,"Gunakan secukupnya, hindari suhu sangat tinggi; pilih minyak tak jenuh bila tersedia.",Minyak dipakai berulang kali atau tinggi lemak trans.
papaya,43,6,TIDAK,—,USDA FoodData Central 2025; WHO Complementary Feeding 2023; WHO Healthy Diet Fact Sheet 2020,Makan buah segar utuh 2–3 porsi (≈80–100 g) per hari; pilih tanpa tambahan gula.,Manisan/buah kaleng bersirup atau jus bergula tinggi.
pear,57,6,TIDAK,—,USDA FoodData Central 2025; WHO Complementary Feeding 2023; WHO Healthy Diet Fact Sheet 2020,Makan buah segar utuh 2–3 porsi (≈80–100 g) per hari; pilih tanpa tambahan gula.,Manisan/buah kaleng bersirup atau jus bergula tinggi.
pineapple,50,6,TIDAK,—,USDA FoodData Central 2025; WHO Complementary Feeding 2023; WHO Healthy Diet Fact Sheet 2020,Makan buah segar utuh 2–3 porsi (≈80–100 g) per hari; pilih tanpa tambahan gula.,Manisan/buah kaleng bersirup atau jus bergula tinggi.
